fname,label
9ee5e052.wav,Cello
965e56e4.wav,Cello
b18b17ca.wav,Clarinet
2c5448df.wav,Clarinet
93519b51.wav,Cello
d2abc133.wav,Applause
f10c7f27.wav,Applause
853c5a08.wav,Cello
3518605b.wav,Clarinet
f409e87c.wav,Clarinet
2ae249e8.wav,Cello
d1dec8ef.wav,Cello
73ffc53f.wav,Clarinet
9ee6f88f.wav,Clarinet
62ff9fde.wav,Cello
f834f946.wav,Cello
c939ba79.wav,Clarinet
c39789a7.wav,Cello
f9653de8.wav,Cello
acae415b.wav,Applause
d328db67.wav,Cello
ad7ec8cb.wav,Clarinet
a6339fc0.wav,Cello
170eeda2.wav,Applause
cf9f9d32.wav,Cello
f82caa0e.wav,Clarinet
c6f4b277.wav,Cello
3f5bfd26.wav,Applause
a13c3b3b.wav,Clarinet
195f544d.wav,Cello
5d59e42c.wav,Clarinet
e51e1770.wav,Clarinet
3f7e6da8.wav,Clarinet
f9c22f47.wav,Applause
99e81de6.wav,Cello
50e7451d.wav,Applause
558a13e0.wav,Clarinet
cdee690e.wav,Applause
f0d644d1.wav,Clarinet
027aa77c.wav,Clarinet
4ebe9797.wav,Clarinet
d59f621a.wav,Applause
76fdce1b.wav,Clarinet
4e2fcd3b.wav,Clarinet
2ee73a9d.wav,Applause
784920ab.wav,Applause
59ee6ca1.wav,Cello
e97d9707.wav,Cello
9e3bc1b6.wav,Cello
07f16007.wav,Cello
00353774.wav,Cello
3c8323d0.wav,Clarinet
0d804b40.wav,Applause
8d51290f.wav,Cello
ba015e1e.wav,Cello
d7e56425.wav,Cello
f1c07799.wav,Clarinet
874959d9.wav,Clarinet
ddf23920.wav,Clarinet
a053797b.wav,Clarinet
ae67b6b6.wav,Clarinet
a59b5a08.wav,Cello
a64a3740.wav,Clarinet
31dbc5c0.wav,Cello
7d46df5d.wav,Applause
dd67b8a9.wav,Clarinet
612a9f1a.wav,Cello
f21dd004.wav,Cello
ece8c018.wav,Clarinet
5802940e.wav,Applause
53d1ed2b.wav,Cello
3c24b853.wav,Clarinet
0ba6976e.wav,Clarinet
ab8e8ae3.wav,Cello
5764480b.wav,Clarinet
c3c790fe.wav,Clarinet
079968f4.wav,Clarinet
0091fc7f.wav,Cello
b37b60fb.wav,Cello
a2632fce.wav,Cello
b532b9e3.wav,Clarinet
76e07b91.wav,Clarinet
67f5ced8.wav,Clarinet
35669b76.wav,Applause
23219d68.wav,Clarinet
f6c24a56.wav,Clarinet
2f3515c2.wav,Clarinet
4cb7c775.wav,Clarinet
cbc8d551.wav,Cello
ff752a0c.wav,Clarinet
2fb7c05e.wav,Clarinet
a139a928.wav,Clarinet
154df401.wav,Cello
699044df.wav,Cello
e0fef04d.wav,Applause
f567398e.wav,Clarinet
dcc7acba.wav,Clarinet
458b1992.wav,Cello
44c5094c.wav,Clarinet
a5a7b9a9.wav,Applause
3fb27eb8.wav,Applause
bdaa2419.wav,Clarinet
e55c5160.wav,Cello
c9babb89.wav,Clarinet
95a54c9a.wav,Clarinet
91589588.wav,Cello
740e5bb7.wav,Clarinet
ad42e493.wav,Clarinet
e2d993ec.wav,Cello
33f7555a.wav,Clarinet
3c66098d.wav,Clarinet
ae8d10a8.wav,Clarinet
8e2df31d.wav,Cello
76ffffa8.wav,Applause
8916ffcd.wav,Clarinet
972a4b10.wav,Applause
99ca03d2.wav,Clarinet
1c6b07b8.wav,Cello
db9a04ba.wav,Clarinet
d1012c2e.wav,Cello
651633e2.wav,Clarinet
3dc30df9.wav,Cello
ec693023.wav,Clarinet
c0d49272.wav,Clarinet
7d896090.wav,Cello
6a210ffa.wav,Cello
ca8ab8c2.wav,Applause
800b401e.wav,Clarinet
ce65d6b5.wav,Clarinet
28d634e9.wav,Applause
3ba2f20d.wav,Applause
807116b8.wav,Clarinet
faf2af04.wav,Applause
c67cb855.wav,Cello
071803a0.wav,Cello
2a55208f.wav,Cello
24ba0ef2.wav,Clarinet
ea806dcf.wav,Clarinet
f0c40412.wav,Applause
2f6c4dec.wav,Cello
a1547447.wav,Cello
c7084f84.wav,Clarinet
ad06c90b.wav,Cello
a07014b6.wav,Clarinet
d4bc030d.wav,Cello
188acf6a.wav,Cello
5e5bca7a.wav,Cello
4ba221e4.wav,Clarinet
b99c6036.wav,Clarinet
1c76a229.wav,Clarinet
9a6a9cff.wav,Applause
9a722e53.wav,Clarinet
ffc92b01.wav,Cello
